date,currency_code,rate,units
2024.03.10,SAR,10.1456,1
2024.03.10,VND,0.0015437,1
2024.03.10,THB,1.05901,1
2024.03.10,AED,10.3594,1
2024.03.10,TND,12.1956,1
2024.03.10,UZS,0.0030447,1
2024.03.10,TWD,1.20401,1
2024.03.10,TMT,10.8712,1
2024.03.10,RSD,0.3516,1
2024.03.10,TJS,3.4733,1
2024.03.10,GEL,14.3241,1
2024.03.10,BRL,7.6217,1
2024.03.10,XAU,82195.83,1
2024.03.10,XAG,920.93,1
2024.03.10,XPT,35033.1,1
2024.03.10,XPD,39726.15,1
2024.03.11,AUD,25.3218,1
2024.03.11,CAD,28.3555,1
2024.03.11,CNY,5.3051,1
2024.03.11,CZK,1.6475,1
2024.03.11,DKK,5.5931,1
2024.03.11,HKD,4.8771,1
2024.03.11,HUF,0.105824,10
2024.03.11,INR,0.46071,1
2024.03.11,IDR,0.0024454,1
2024.03.11,ILS,10.6718,1
2024.03.11,JPY,0.25908,10
2024.03.11,KZT,0.085321,100
2024.03.11,KRW,0.028907,1
2024.03.11,MXN,2.2625,1
2024.03.11,MDL,2.1553,1
2024.03.11,NZD,23.5864,1
2024.03.11,NOK,3.6768,1
2024.03.11,RUB,0.41974,1
2024.03.11,SGD,28.643,1
2024.03.11,ZAR,2.0455,1
2024.03.11,SEK,3.7352,1
2024.03.11,CHF,43.4853,1
2024.03.11,EGP,0.7722,1
2024.03.11,GBP,48.9654,1
2024.03.11,USD,38.141,1
2024.03.11,BYN,13.8634,1
2024.03.11,AZN,22.4451,1
2024.03.11,RON,8.3904,1
2024.03.11,TRY,1.1932,1
2024.03.11,XDR,50.9128,1
2024.03.11,BGN,21.3173,1
2024.03.11,EUR,41.6957,1
2024.03.11,PLN,9.6844,1
2024.03.11,DZD,0.28321,1
2024.03.11,BDT,0.3459,1
2024.03.11,AMD,0.094144,1
2024.03.11,DOP,0.65004,1
2024.03.11,IRR,0.00090593,1
2024.03.11,IQD,0.029045,1
2024.03.11,KGS,0.42551,1
2024.03.11,LBP,0.000425,1
2024.03.11,LYD,7.8762,1
2024.03.11,MYR,8.022,1
2024.03.11,MAD,3.7715,1
2024.03.11,PKR,0.13675,1
2024.03.11,SAR,10.1456,1
2024.03.11,VND,0.0015437,1
2024.03.11,THB,1.05901,1
2024.03.11,AED,10.3594,1
2024.03.11,TND,12.1956,1
2024.03.11,UZS,0.0030447,1
2024.03.11,TWD,1.20401,1
2024.03.11,TMT,10.8712,1
2024.03.11,RSD,0.3516,1
2024.03.11,TJS,3.4733,1
2024.03.11,GEL,14.3241,1
2024.03.11,BRL,7.6217,1
2024.03.11,XAU,82638.58,1
2024.03.11,XAG,933.62,1
2024.03.11,XPT,34977.97,1
2024.03.11,XPD,39685.71,1
2024.03.12,AUD,25.3363,1
2024.03.12,CAD,28.4189,1
2024.03.12,CNY,5.3452,1
2024.03.12,CZK,1.6577,1
2024.03.12,DKK,5.6275,1
2024.03.12,HKD,4.9084,1
2024.03.12,HUF,0.106052,10
2024.03.12,INR,0.46375,1
2024.03.12,IDR,0.0024609,1
2024.03.12,ILS,10.627,1
2024.03.12,JPY,0.26143,10
2024.03.12,KZT,0.085319,100
2024.03.12,KRW,0.029302,1
2024.03.12,MXN,2.2832,1
2024.03.12,MDL,2.169,1
2024.03.12,NZD,23.6782,1
2024.03.12,NOK,3.6669,1
2024.03.12,RUB,0.42362,1
2024.03.12,SGD,28.8547,1
2024.03.12,ZAR,2.0525,1
2024.03.12,SEK,3.752,1
2024.03.12,CHF,43.7358,1
2024.03.12,EGP,0.7828,1
2024.03.12,GBP,49.2332,1
2024.03.12,USD,38.3825,1
2024.03.12,BYN,13.9512,1
2024.03.12,AZN,22.5819,1
2024.03.12,RON,8.4526,1
2024.03.12,TRY,1.1994,1
2024.03.12,XDR,51.247,1
2024.03.12,BGN,21.4523,1
2024.03.12,EUR,41.9559,1
2024.03.12,PLN,9.802,1
2024.03.12,DZD,0.28321,1
2024.03.12,BDT,0.3459,1
2024.03.12,AMD,0.094144,1
2024.03.12,DOP,0.65004,1
2024.03.12,IRR,0.00090593,1
2024.03.12,IQD,0.029045,1
2024.03.12,KGS,0.42551,1
2024.03.12,LBP,0.000425,1
2024.03.12,LYD,7.8762,1
2024.03.12,MYR,8.022,1
2024.03.12,MAD,3.7715,1
2024.03.12,PKR,0.13675,1
2024.03.12,SAR,10.1456,1
2024.03.12,VND,0.0015437,1
2024.03.12,THB,1.05901,1
2024.03.12,AED,10.3594,1
2024.03.12,TND,12.1956,1
2024.03.12,UZS,0.0030447,1
2024.03.12,TWD,1.20401,1
2024.03.12,TMT,10.8712,1
2024.03.12,RSD,0.3516,1
2024.03.12,TJS,3.4733,1
2024.03.12,GEL,14.3241,1
2024.03.12,BRL,7.6217,1
2024.03.12,XAU,83570.98,1
2024.03.12,XAG,937.78,1
2024.03.12,XPT,35726.05,1
2024.03.12,XPD,39766.96,1
2024.03.13,AUD,25.4589,1
2024.03.13,CAD,28.5319,1
2024.03.13,CNY,5.3644,1
2024.03.13,CZK,1.6635,1
2024.03.13,DKK,5.6379,1
2024.03.13,HKD,4.9199,1
2024.03.13,HUF,0.10578,10
2024.03.13,INR,0.46502,1
2024.03.13,IDR,0.0024679,1
2024.03.13,ILS,10.5389,1
2024.03.13,JPY,0.26079,10
2024.03.13,KZT,0.085743,100
2024.03.13,KRW,0.02936,1
2024.03.13,MXN,2.2892,1
2024.03.13,MDL,2.1828,1
2024.03.13,NZD,23.7267,1
2024.03.13,NOK,3.6701,1
2024.03.13,RUB,0.42194,1
2024.03.13,SGD,28.9069,1
2024.03.13,ZAR,2.0669,1
2024.03.13,SEK,3.7666,1
2024.03.13,CHF,43.886,1
2024.03.13,EGP,0.7889,1
2024.03.13,GBP,49.176,1
2024.03.13,USD,38.4924,1
2024.03.13,BYN,13.9911,1
2024.03.13,AZN,22.6466,1
2024.03.13,RON,8.4645,1
2024.03.13,TRY,1.2009,1
2024.03.13,XDR,51.3504,1
2024.03.13,BGN,21.4969,1
2024.03.13,EUR,42.0414,1
2024.03.13,PLN,9.8065,1
2024.03.13,DZD,0.28321,1
2024.03.13,BDT,0.3459,1
2024.03.13,AMD,0.094144,1
2024.03.13,DOP,0.65004,1
2024.03.13,IRR,0.00090593,1
2024.03.13,IQD,0.029045,1
2024.03.13,KGS,0.42551,1
2024.03.13,LBP,0.000425,1
2024.03.13,LYD,7.8762,1
2024.03.13,MYR,8.022,1
2024.03.13,MAD,3.7715,1
2024.03.13,PKR,0.13675,1
2024.03.13,SAR,10.1456,1
2024.03.13,VND,0.0015437,1
2024.03.13,THB,1.05901,1
2024.03.13,AED,10.3594,1
2024.03.13,TND,12.1956,1
2024.03.13,UZS,0.0030447,1
2024.03.13,TWD,1.20401,1
2024.03.13,TMT,10.8712,1
2024.03.13,RSD,0.3516,1
2024.03.13,TJS,3.4733,1
2024.03.13,GEL,14.3241,1
2024.03.13,BRL,7.6217,1
2024.03.13,XAU,83628.97,1
2024.03.13,XAG,940.33,1
2024.03.13,XPT,35576.99,1
2024.03.13,XPD,39058.62,1
2024.03.14,AUD,25.6387,1
2024.03.14,CAD,28.7487,1
2024.03.14,CNY,5.3927,1
2024.03.14,CZK,1.6783,1
2024.03.14,DKK,5.6882,1
2024.03.14,HKD,4.9583,1
2024.03.14,HUF,0.106933,10
2024.03.14,INR,0.46811,1
2024.03.14,IDR,0.0024902,1
2024.03.14,ILS,10.6108,1
2024.03.14,JPY,0.26215,10
2024.03.14,KZT,0.086174,100
2024.03.14,KRW,0.029515,1
2024.03.14,MXN,2.312,1
2024.03.14,MDL,2.2032,1
2024.03.14,NZD,23.87,1
2024.03.14,NOK,3.6938,1
2024.03.14,RUB,0.42287,1
2024.03.14,SGD,29.0938,1
2024.03.14,ZAR,2.074,1
2024.03.14,SEK,3.7886,1
2024.03.14,CHF,44.2026,1
2024.03.14,EGP,0.8007,1
2024.03.14,GBP,49.6445,1
2024.03.14,USD,38.7878,1
2024.03.14,BYN,14.0985,1
2024.03.14,AZN,22.8204,1
2024.03.14,RON,8.5379,1
2024.03.14,TRY,1.2084,1
2024.03.14,XDR,51.7494,1
2024.03.14,BGN,21.6885,1
2024.03.14,EUR,42.4183,1
2024.03.14,PLN,9.8888,1
2024.03.14,DZD,0.28321,1
2024.03.14,BDT,0.3459,1
2024.03.14,AMD,0.094144,1
2024.03.14,DOP,0.65004,1
2024.03.14,IRR,0.00090593,1
2024.03.14,IQD,0.029045,1
2024.03.14,KGS,0.42551,1
2024.03.14,LBP,0.000425,1
2024.03.14,LYD,7.8762,1
2024.03.14,MYR,8.022,1
2024.03.14,MAD,3.7715,1
2024.03.14,PKR,0.13675,1
2024.03.14,SAR,10.1456,1
2024.03.14,VND,0.0015437,1
2024.03.14,THB,1.05901,1
2024.03.14,AED,10.3594,1
2024.03.14,TND,12.1956,1
2024.03.14,UZS,0.0030447,1
2024.03.14,TWD,1.20401,1
2024.03.14,TMT,10.8712,1
2024.03.14,RSD,0.3516,1
2024.03.14,TJS,3.4733,1
2024.03.14,GEL,14.3241,1
2024.03.14,BRL,7.6217,1
2024.03.14,XAU,83919.73,1
2024.03.14,XAG,945.02,1
2024.03.14,XPT,36047.44,1
2024.03.14,XPD,41193.03,1
2024.03.15,AUD,25.5865,1
2024.03.15,CAD,28.7058,1
2024.03.15,CNY,5.3798,1
2024.03.15,CZK,1.6793,1
2024.03.15,DKK,5.6709,1
2024.03.15,HKD,4.9458,1
2024.03.15,HUF,0.107209,10
2024.03.15,INR,0.46706,1
2024.03.15,IDR,0.0024829,1
2024.03.15,ILS,10.6698,1
2024.03.15,JPY,0.26165,10
2024.03.15,KZT,0.086373,100
2024.03.15,KRW,0.029343,1
2024.03.15,MXN,2.3193,1
2024.03.15,MDL,2.2012,1
2024.03.15,NZD,23.8302,1
2024.03.15,NOK,3.6882,1
2024.03.15,RUB,0.42186,1
2024.03.15,SGD,29.0191,1
2024.03.15,ZAR,2.0767,1
2024.03.15,SEK,3.7676,1
2024.03.15,CHF,43.9782,1
2024.03.15,EGP,0.8089,1
2024.03.15,GBP,49.498,1
2024.03.15,USD,38.6854,1
2024.03.15,BYN,14.0613,1
2024.03.15,AZN,22.7601,1
2024.03.15,RON,8.5071,1
2024.03.15,TRY,1.2043,1
2024.03.15,XDR,51.6083,1
2024.03.15,BGN,21.6216,1
2024.03.15,EUR,42.287,1
2024.03.15,PLN,9.8459,1
2024.03.15,DZD,0.28321,1
2024.03.15,BDT,0.3459,1
2024.03.15,AMD,0.094144,1
2024.03.15,DOP,0.65004,1
2024.03.15,IRR,0.00090593,1
2024.03.15,IQD,0.029045,1
2024.03.15,KGS,0.42551,1
2024.03.15,LBP,0.000425,1
2024.03.15,LYD,7.8762,1
2024.03.15,MYR,8.022,1
2024.03.15,MAD,3.7715,1
2024.03.15,PKR,0.13675,1
2024.03.15,SAR,10.1456,1
2024.03.15,VND,0.0015437,1
2024.03.15,THB,1.05901,1
2024.03.15,AED,10.3594,1
2024.03.15,TND,12.1956,1
2024.03.15,UZS,0.0030447,1
2024.03.15,TWD,1.20401,1
2024.03.15,TMT,10.8712,1
2024.03.15,RSD,0.3516,1
2024.03.15,TJS,3.4733,1
2024.03.15,GEL,14.3241,1
2024.03.15,BRL,7.6217,1
2024.03.15,XAU,83689.67,1
2024.03.15,XAG,966.81,1
2024.03.15,XPT,36139.51,1
2024.03.15,XPD,41651.41,1
2024.03.16,AUD,25.5865,1
2024.03.16,CAD,28.7058,1
2024.03.16,CNY,5.3798,1
2024.03.16,CZK,1.6793,1
2024.03.16,DKK,5.6709,1
2024.03.16,HKD,4.9458,1
2024.03.16,HUF,0.107209,10
2024.03.16,INR,0.46706,1
2024.03.16,IDR,0.0024829,1
2024.03.16,ILS,10.6698,1
2024.03.16,JPY,0.26165,10
2024.03.16,KZT,0.086373,100
2024.03.16,KRW,0.029343,1
2024.03.16,MXN,2.3193,1
2024.03.16,MDL,2.2012,1
2024.03.16,NZD,23.8302,1
2024.03.16,NOK,3.6882,1
2024.03.16,RUB,0.42186,1
2024.03.16,SGD,29.0191,1
2024.03.16,ZAR,2.0767,1
2024.03.16,SEK,3.7676,1
2024.03.16,CHF,43.9782,1
2024.03.16,EGP,0.8089,1
2024.03.16,GBP,49.498,1
2024.03.16,USD,38.6854,1
2024.03.16,BYN,14.0613,1
2024.03.16,AZN,22.7601,1
2024.03.16,RON,8.5071,1
2024.03.16,TRY,1.2043,1
2024.03.16,XDR,51.6083,1
2024.03.16,BGN,21.6216,1
2024.03.16,EUR,42.287,1
2024.03.16,PLN,9.8459,1
2024.03.16,DZD,0.28321,1
2024.03.16,BDT,0.3459,1
2024.03.16,AMD,0.094144,1
2024.03.16,DOP,0.65004,1
2024.03.16,IRR,0.00090593,1
2024.03.16,IQD,0.029045,1
2024.03.16,KGS,0.42551,1
2024.03.16,LBP,0.000425,1
2024.03.16,LYD,7.8762,1
2024.03.16,MYR,8.022,1
2024.03.16,MAD,3.7715,1
2024.03.16,PKR,0.13675,1
2024.03.16,SAR,10.1456,1
2024.03.16,VND,0.0015437,1
2024.03.16,THB,1.05901,1
2024.03.16,AED,10.3594,1
2024.03.16,TND,12.1956,1
2024.03.16,UZS,0.0030447,1
2024.03.16,TWD,1.20401,1
2024.03.16,TMT,10.8712,1
2024.03.16,RSD,0.3516,1
2024.03.16,TJS,3.4733,1
2024.03.16,GEL,14.3241,1
2024.03.16,BRL,7.6217,1
2024.03.16,XAU,83689.67,1
2024.03.16,XAG,966.81,1
2024.03.16,XPT,36139.51,1
2024.03.16,XPD,41651.41,1
2024.03.17,AUD,25.5865,1
2024.03.17,CAD,28.7058,1
2024.03.17,CNY,5.3798,1
2024.03.17,CZK,1.6793,1
2024.03.17,DKK,5.6709,1
2024.03.17,HKD,4.9458,1
2024.03.17,HUF,0.107209,10
2024.03.17,INR,0.46706,1
2024.03.17,IDR,0.0024829,1
2024.03.17,ILS,10.6698,1
2024.03.17,JPY,0.26165,10
2024.03.17,KZT,0.086373,100
2024.03.17,KRW,0.029343,1
2024.03.17,MXN,2.3193,1
2024.03.17,MDL,2.2012,1
2024.03.17,NZD,23.8302,1
2024.03.17,NOK,3.6882,1
2024.03.17,RUB,0.42186,1
2024.03.17,SGD,29.0191,1
2024.03.17,ZAR,2.0767,1
2024.03.17,SEK,3.7676,1
2024.03.17,CHF,43.9782,1
2024.03.17,EGP,0.8089,1
2024.03.17,GBP,49.498,1
2024.03.17,USD,38.6854,1
2024.03.17,BYN,14.0613,1
2024.03.17,AZN,22.7601,1
2024.03.17,RON,8.5071,1
2024.03.17,TRY,1.2043,1
2024.03.17,XDR,51.6083,1
2024.03.17,BGN,21.6216,1
2024.03.17,EUR,42.287,1
2024.03.17,PLN,9.8459,1
2024.03.17,DZD,0.28321,1
2024.03.17,BDT,0.3459,1
2024.03.17,AMD,0.094144,1
2024.03.17,DOP,0.65004,1
2024.03.17,IRR,0.00090593,1
2024.03.17,IQD,0.029045,1
2024.03.17,KGS,0.42551,1
2024.03.17,LBP,0.000425,1
2024.03.17,LYD,7.8762,1
2024.03.17,MYR,8.022,1
2024.03.17,MAD,3.7715,1
2024.03.17,PKR,0.13675,1
2024.03.17,SAR,10.1456,1
2024.03.17,VND,0.0015437,1
